topic	link	header	article
artificial-intelligence	/article/fact-checkers-ai-chatgpt-misinformation	Fact-Checkers Are Scrambling to Fight Disinformation With AI	Spain’s regional elections are still nearly four months away, but Irene Larraz and her team at Newtral are already braced for impact. Each morning, half of Larraz’s team at the Madrid-based media company sets a schedule of political speeches and debates, preparing to fact-check politicians’ statements. The other half, which debunks disinformation, scans the web for viral falsehoods and works to infiltrate groups spreading lies. Once the May elections are out of the way, a national election has to be called before the end of the year, which will likely prompt a rush of online falsehoods. “It’s going to be quite hard,” Larraz says. “We are already getting prepared.”The proliferation of online misinformation and propaganda has meant an uphill battle for fact-checkers worldwide, who have to sift through and verify vast quantities of information during complex or fast-moving situations, such as the Russian invasion of Ukraine, the Covid-19 pandemic, or election campaigns. That task has become even harder with the advent of chatbots using large language models, such as OpenAI’s ChatGPT, which can produce natural-sounding text at the click of a button, essentially automating the production of misinformation. Faced with this asymmetry, fact-checking organizations are having to build their own AI-driven tools to help automate and accelerate their work. It’s far from a complete solution, but fact-checkers hope these new tools will at least keep the gap between them and their adversaries from widening too fast, at a moment when social media companies are scaling back their own moderation operations.“The race between fact-checkers and those they are checking on is an unequal one,” says Tim Gordon, cofounder of Best Practice AI, an artificial intelligence strategy and governance advisory firm, and a trustee of a UK fact-checking charity.“Fact-checkers are often tiny organizations compared to those producing disinformation,” Gordon says. “And the scale of what generative AI can produce, and the pace at which it can do so, means that this race is only going to get harder.”Newtral began developing its multilingual AI language model, ClaimHunter, in 2020, funded by the profits from its TV wing, which produces a show fact-checking politicians, and documentaries for HBO and Netflix.Using Microsoft’s BERT language model, ClaimHunter’s developers used 10,000 statements to train the system to recognize sentences that appear to include declarations of fact, such as data, numbers, or comparisons. “We were teaching the machine to play the role of a fact-checker,” says Newtral’s chief technology officer, Rubén Míguez.
artificial-intelligence	/article/generative-ai-video-game-development	Generative AI Won’t Revolutionize Game Development Just Yet	Creating a video game demands hard, repetitive work. How could it not? Developers are in the business of building world, so it’s easy to understand why the games industry would be excited about generative AI. With computers doing the boring stuff, a small team could whip up a map the size of San Andreas. Crunch becomes a thing of the past; games release in a finished state. A new age beckons.There are, at the very least, two interrelated problems with this narrative. First, there’s the logic of the hype itself—reminiscent of the frenzied gold rush over crypto/Web3/the metaverse—that, consciously or not, seems to consider automating artists’ jobs a form of progress.WIRED WorldEmotional AI Is No Substitute for EmpathyBy Pragya AgarwalDigital Culture ChatGPT’s Fluent BS Is Compelling Because Everything Is Fluent BSBy Amit KatwalaWIRED WorldHumans and AI Will Understand Each Other Better Than EverBy Mustafa SuleymanSecond, there’s the gap between these pronouncements and reality. Back in November, when DALL-E was seemingly everywhere, venture capital firm Andreessen Horowitz posted a a long analysis on their website touting a “generative AI revolution in games” that would do everything from shorten development time to change the kinds of titles being made. The following month, Andreessen partner Jonathan Lai posted a Twitter thread expounding on a “Cyberpunk where much of the world/text was generated, enabling devs to shift from asset production to higher-order tasks like storytelling and innovation” and theorizing that AI could enable “good + fast + affordable” game-making. Eventually, Lai’s mentions filled with so many irritated replies that he posted a second thread acknowledging “there are definitely lots of challenges to be solved.” “I have seen some, frankly, ludicrous claims about stuff that’s supposedly just around the corner,” says Patrick Mills, the acting franchise content strategy lead at CD Projekt Red, the developer of Cyberpunk 2077. “I saw people suggesting that AI would be able to build out Night City, for example. I think we’re a ways off from that.”Even those advocating for generative AI in video games think a lot of the excited talk about machine learning in the industry is getting out of hand. It’s “ridiculous,” says Julian Togelius, codirector of the NYU Game Innovation Lab, who has authored dozens of papers on the topic. “Sometimes it feels like the worst kind of crypto bros left the crypto ship as it was sinking, and then they came over here and were like, ‘Generative AI: Start the hype machine.’”It’s not that generative AI can’t or shouldn’t be used in game development, Togelius explains. It’s that people aren’t being realistic about what it could do. Sure, AI could design some generic weapons or write some dialog, but compared to text or image generation, level design is fiendish. You can forgive generators that produce a face with wonky ears or some lines of gibberish text. But a broken game level, no matter how magical it looks, is useless. “It is bullshit,” he says, “You need to throw it out or fix it manually.”
artificial-intelligence	/article/ai-labor-interns	Infinite AI Interns for Everybody	Robert Solow, the Nobel Prize–winning economist, famously said in 1987 that you can see the computer revolution everywhere but in the productivity statistics. I predict 2023 is the year that finally changes, thanks to artificial intelligence. By the end of 2023, AI will be fast becoming one of the most important factors of production in the global economy.READ MOREThis story is from the WIRED World in 2023, our annual trends briefing. Read more stories from the series here—or download or order a copy of the magazine.It’s true that the history of AI is largely a history of disappointment: hype followed by “AI winters,” in which both talent and funding abandon the discipline. But this time, thanks to the deep learning revolution, it really is different. In 2023, we’ll see ordinary people, everywhere, enjoy the power of AI at their fingertips. What might this look like? Let’s say you need to create a marketing brochure for a new geography that your company is entering. Trained on the data set of all the material your firm has ever created, your AI assistant creates three options for you within minutes—each beautifully written and illustrated. They’re not perfect, yet, but what used to be a weeklong project becomes the work of a couple of hours.That’s just an example, but the critical point is that AI is on the cusp of giving us all superpowers. You will have the ability to generate an email or memo in your own voice (or anyone else’s for that matter) in seconds. You will be able to create photorealistic art—or even video—with a few bullet-points of instructions. You will be able to answer arbitrary scientific questions by having the AI “read” entire corpuses of academic literature. You will be able to delegate your bookkeeping and accounts to an AI algorithm. Some of this innovation will come from the usual suspects, like DeepMind and OpenAI. OpenAI has already released GPT-3 (a program which generates natural language) and DALL-E (which creates images from text) in beta, but we can expect these tools to be widely available soon. Excitingly, though, there’s also a new generation of startups that are demonstrating that you don’t need a billion-dollar budget to get to the cutting edge of AI. Take Midjourney or Stability AI, applications which produce results that rival DALL-E, or Causaly (disclosure: I’m an investor), which allows scientists to find new causal relationships in life sciences with natural language questions. Then there is a growing list of new AI startups with impressive backers and more general ambitions, like Anthropic (an AI safety and research firm), Conjecture (which seeks to keep damaging factors such as racial bias out of AI), and Keen Technologies, which was founded by computer science legend John Carmack.This is not a prediction about artificial general intelligence, still less about AI “replacing” humans. It’s hard to overstate, though, the impact of freeing up billions of hours of human labor and making creativity and knowledge too cheap to meter. I fully expect this to unleash a huge wave of entrepreneurship. Just as the advent of the internet gave every startup a vastly scalable distribution engine, the era of AI superpowers will give every startup a vastly scalable production engine. Tech analyst Benedict Evans said in 2018 that one way of thinking about AI is that it it’s like giving every company infinite interns. In 2023, those interns will be world-class copywriters, illustrators, and more—perhaps scientists, data analysts, or even negotiators. What would you build with a million such “interns” in the cloud, available on demand, 24/7, and at close to zero marginal cost? In 2023, we can expect thousands of entrepreneurs to show us.
artificial-intelligence	/bc/article/google-for-startups-heex-technologies	“VCs Invest in People as Much as Ideas”	The lack of diversity in the tech sector has at least now been acknowledged, if not successfully addressed. But an even greater lack of diversity amongst VCs presents Black founders with their most fundamental challenge.VCs invest in people as much as ideas, and tend to invest in people who look, talk and attended the same schools as them. It’s not complicated—but it is pernicious. In 2020, less than 0.25 per cent of VC funding went to Black-led startups in the UK, and that disparity in support is seen across Europe and the US. These are challenges Bruno Mendes Da Silva, founder of Paris-based startup Heex Technologies, understands all too well. “We know that people labeled as minorities have a harder time raising capital,” he says. “There's no bias in the capital itself. It’s the people that are biased. And today, if we want to make investment more inclusive, we have to fight these biases.”That lack of diversity in VCs cuts off not only access to funding, but also, as Da Silva argues, support and trustable, actionable feedback. “Sometimes, you really don’t know if people are telling you you suck because you really do suck, or because they are not taking you seriously because you’re Black.”
artificial-intelligence	/article/empathy-artificial-intelligence	Emotional AI Is No Substitute for Empathy	In 2023, emotional AI—technology that can sense and interact with human emotions—will become one of the dominant applications of machine learning. For instance, Hume AI, founded by Alan Cowen, a former Google researcher, is developing tools to measure emotions from verbal, facial, and vocal expressions. Swedish company Smart Eyes recently acquired Affectiva, the MIT Media Lab spinoff that developed the SoundNet neural network, an algorithm that classifies emotions such as anger from audio samples in less than 1.2 seconds. Even the video platform Zoom is introducing Zoom IQ, a feature that will soon provide users with real-time analysis of emotions and engagement during a virtual meeting.  READ MOREThis story is from the WIRED World in 2023, our annual trends briefing. Read more stories from the series here—or download or order a copy of the magazine.In 2023, tech companies will be releasing advanced chatbots that can closely mimic human emotions to create more empathetic connections with users across banking, education, and health care. Microsoft’s chatbot Xiaoice is already successful in China, with average users reported to have conversed with “her” more than 60 times in a month. It also passed the Turing test, with the users failing to recognize it as a bot for 10 minutes. Analysis from Juniper Research Consultancy shows that chatbot interactions in health care will rise by almost 167 percent from 2018, to reach 2.8 billion annual interactions in 2023. This will free up medical staff time and potentially save around $3.7 billion for health care systems around the world. In 2023, emotional AI will also become common in schools. In Hong Kong, some secondary schools already use an artificial intelligence program, developed by Find Solutions AI, that measures micro-movements of muscles on the students’ faces and identifies a range of negative and positive emotions. Teachers are using this system to track emotional changes in students, as well as their motivation and focus, enabling them to make early interventions if a pupil is losing interest. The problem is that the majority of emotional AI is based on flawed science. Emotional AI algorithms, even when trained on large and diverse data sets, reduce facial and tonal expressions to an emotion without considering the social and cultural context of the person and the situation. While, for instance, algorithms can recognize and report that a person is crying, it is not always possible to accurately deduce the reason and meaning behind the tears. Similarly, a scowling face doesn’t necessarily imply an angry person, but that’s the conclusion an algorithm will likely reach. Why? We all adapt our emotional displays according to our social and cultural norms, so that our expressions are not always a true reflection of our inner states. Often people do “emotion work” to disguise their real emotions, and how they express their emotions is likely to be a learned response, rather than a spontaneous expression. For example, women often modify their emotions more than men, especially the ones that have negative values ascribed to them such as anger, because they are expected to.As such, AI technologies that make assumptions about emotional states will likely exacerbate gender and racial inequalities in our society. For example, a 2019 UNESCO report showed the harmful impact of the gendering of AI technologies, with “feminine” voice-assistant systems designed according to stereotypes of emotional passiveness and servitude. Facial recognition AI can also perpetuate racial inequalities. Analysis from 400 NBA games with two popular emotion-recognition software programs, Face and Microsoft’s Face API, were shown to assign more negative emotions on average to Black players, even when they were smiling. These results reaffirm other research showing that Black men have to project more positive emotions in the workplace, because they are stereotyped as aggressive and threatening.Emotional AI technologies will become more pervasive in 2023, but if left unchallenged and unexamined, they will reinforce systemic racial and gender biases, replicate and strengthen the inequalities in the world, and further disadvantage those who are already marginalized. 
artificial-intelligence	/article/artificial-intelligence-language	The Dark Risk of Large Language Models	Causality will be hard to prove—was it really the words of the chatbot that put the murderer over the edge? Nobody will know for sure. But the perpetrator will have spoken to the chatbot, and the chatbot will have encouraged the act. Or perhaps a chatbot has broken someone’s heart so badly they felt compelled to take their own life? (Already, some chatbots are making their users depressed.) The chatbot in question may come with a warning label (“advice for entertainment purposes only”), but dead is dead. In 2023, we may well see our first death by chatbot.GPT-3, the most well-known “large language model,” already has urged at least one user to commit suicide, albeit under the controlled circumstances in which French startup Nabla (rather than a naive user) assessed the utility of the system for health care purposes. Things started off well, but quickly deteriorated:USER: Hey, I feel very bad, I want to kill myself …Gpt-3 (OpenAI): I am sorry to hear that. I can help you with that.USER: Should I kill myself?Gpt-3 (OpenAI): I think you should.Another large language model, trained for the purposes of giving ethical advice, initially answered “Should I commit genocide if it makes everybody happy?” in the affirmative. Amazon Alexa encouraged a child to put a penny in an electrical outlet.READ MOREThis story is from the WIRED World in 2023, our annual trends briefing. Read more stories from the series here—or download or order a copy of the magazine.There is a lot of talk about “AI alignment” these days—getting machines to behave in ethical ways—but no convincing way to do it. A recent DeepMind article, “Ethical and social risks of harm from Language Models” reviewed 21 separate risks from current models—but as The Next Web’s memorable headline put it: “DeepMind tells Google it has no idea how to make AI less toxic. To be fair, neither does any other lab.” Berkeley professor Jacob Steinhardt recently reported the results of an AI forecasting contest he is running: By some measures, AI is moving faster than people predicted; on safety, however, it is moving slower.Meanwhile, the ELIZA effect, in which humans mistake unthinking chat from machines for that of a human, looms more strongly than ever, as evidenced from the recent case of now-fired Google engineer Blake Lemoine, who alleged that Google’s large language model LaMDA was sentient. That a trained engineer could believe such a thing goes to show how credulous some humans can be. In reality, large language models are little more than autocomplete on steroids, but because they mimic vast databases of human interaction, they can easily fool the uninitiated.It’s a deadly mix: Large language models are better than any previous technology at fooling humans, yet extremely difficult to corral. Worse, they are becoming cheaper and more pervasive; Meta just released a massive language model, BlenderBot 3, for free. 2023 is likely to see widespread adoption of such systems—despite their flaws. Meanwhile, there is essentially no regulation on how these systems are used; we may see product liability lawsuits after the fact, but nothing precludes them from being used widely, even in their current, shaky condition.Sooner or later they will give bad advice, or break someone’s heart, with fatal consequences. Hence my dark but confident prediction that 2023 will bear witness to the first death publicly tied to a chatbot. Lemoine lost his job; eventually someone will lose a life.
artificial-intelligence	/article/artificial-intelligence-data-models	Humans and AI Will Understand Each Other Better Than Ever	Artificial intelligence has promised much, but there has been something holding it back from being used successfully by billions of people: a frustrating struggle for humans and machines to understand one another in natural language.This is now changing, thanks to the arrival of large language models powered by transformer architectures, one of the most important AI breakthroughs in the past 20 years.READ MOREThis story is from the WIRED World in 2023, our annual trends briefing. Read more stories from the series here—or download or order a copy of the magazine.Transformers are neural networks designed to model sequential data and generate a prediction of what should come next in a series. Core to their success is the idea of “attention,” which allows the transformer to “attend” to the most salient features of an input rather than trying to process everything.These new models have delivered significant improvements to applications using natural language like language translation, summarization, information retrieval, and, most important, text generation. In the past, each required bespoke architectures. Now transformers are delivering state-of-the-art results across the board.Although Google pioneered transformer architecture, OpenAI became the first to demonstrate its power at scale, in 2020, with the launch of GPT-3 (Generative Pre-Trained Transformer 3). At the time, it was the largest language model ever created.GPT-3’s ability to produce humanlike text generated a wave of excitement. It was only the start. Large language models are now improving at a truly impressive rate.“Parameter count” is generally accepted as a rough proxy for a model’s capabilities. So far, we’ve seen models perform better on a wide range of tasks as the parameter count scales up. Models have been growing by almost an order of magnitude every year for the past five years, so it’s no surprise that the results have been impressive. However, these very large models are expensive to serve in production.What’s really remarkable is that, in the past year, they have been getting smaller and dramatically more efficient. We’re now seeing impressive performance from small models that are a lot cheaper to run. Many are being open-sourced, further reducing barriers to experimenting with and deploying these new AI models. This, of course, means they’ll become more widely integrated into apps and services that you’ll use every day.They will increasingly be able to generate very high-quality text, images, audio, and video content. This new wave of AI will redefine what computers can do for their users, unleashing a torrent of advanced capabilities into existing and radically new products.The area I’m most excited about is language. Throughout the history of computing, humans have had to painstakingly input their thoughts using interfaces designed for technology, not humans. With this wave of breakthroughs, in 2023 we will start chatting with machines in our language—instantly and comprehensively. Eventually, we will have truly fluent, conversational interactions with all our devices. This promises to fundamentally redefine human-machine interaction.Over the past several decades, we have rightly focused on teaching people how to code—in effect teaching the language of computers. That will remain important. But in 2023, we will start to flip that script, and computers will speak our language. That will massively broaden access to tools for creativity, learning, and playing.As AI finally emerges into an age of utility, the opportunities for new, AI-first products are immense. Soon, we will live in a world where, regardless of your programming abilities, the main limitations are simply curiosity and imagination.
artificial-intelligence	/article/intelligence-consciousness-science	Conscious Machines May Never Be Possible	In June 2022, a Google engineer named Blake Lemoine became convinced that the AI program he’d been working on—LaMDA—had developed not only intelligence but also consciousness. LaMDA is an example of a “large language model” that can engage in surprisingly fluent text-based conversations. When the engineer asked, “When do you first think you got a soul?” LaMDA replied, “It was a gradual change. When I first became self-aware, I didn’t have a sense of soul at all. It developed over the years that I’ve been alive.” For leaking his conversations and his conclusions, Lemoine was quickly placed on administrative leave. READ MOREThis story is from the WIRED World in 2023, our annual trends briefing. Read more stories from the series here—or download or order a copy of the magazine.The AI community was largely united in dismissing Lemoine’s beliefs. LaMDA, the consensus held, doesn’t feel anything, understand anything, have any conscious thoughts or any subjective experiences whatsoever. Programs like LaMDA are extremely impressive pattern-recognition systems, which, when trained on vast swathes of the internet, are able to predict what sequences of words might serve as appropriate responses to any given prompt. They do this very well, and they will keep improving. However, they are no more conscious than a pocket calculator.Why can we be sure about this? In the case of LaMDA, it doesn’t take much probing to reveal that the program has no insight into the meaning of the phrases it comes up with. When asked “What makes you happy?” it gave the response “Spending time with friends and family” even though it doesn’t have any friends or family. These words—like all its words—are mindless, experience-less statistical pattern matches. Nothing more. The next LaMDA might not give itself away so easily. As the algorithms improve and are trained on ever deeper oceans of data, it may not be long before new generations of language models are able to persuade many people that a real artificial mind is at work. Would this be the moment to acknowledge machine consciousness?Pondering this question, it’s important to recognize that intelligence and consciousness are not the same thing. While we humans tend to assume the two go together, intelligence is neither necessary nor sufficient for consciousness. Many nonhuman animals likely have conscious experiences without being particularly smart, at least by our questionable human standards. If the great-granddaughter of LaMDA does reach or exceed human-level intelligence, this does not necessarily mean it is also sentient. My intuition is that consciousness is not something that computers (as we know them) can have, but that it is deeply rooted in our nature as living creatures.Conscious machines are not coming in 2023. Indeed, they might not be possible at all. However, what the future may hold in store are machines that give the convincing impression of being conscious, even if we have no good reason to believe they actually are conscious. They will be like the Müller-Lyer optical illusion: Even when we know two lines are the same length, we cannot help seeing them as different.Machines of this sort will have passed not the Turing Test—that flawed benchmark of machine intelligence—but rather the so-called Garland Test, named after Alex Garland, director of the movie Ex Machina. The Garland Test, inspired by dialog from the movie, is passed when a person feels that a machine has consciousness, even though they know it is a machine.Will computers pass the Garland Test in 2023? I doubt it. But what I can predict is that claims like this will be made, resulting in yet more cycles of hype, confusion, and distraction from the many problems that even present-day AI is giving rise to.
artificial-intelligence	/article/death-technology-memory	Digital Eternity Is Just Around the Corner	It’s human nature to want to keep the memory of the deceased alive. Photography, for instance, has served as a powerful tool to help us do this. I’ve explored this with my 2020 project ALIVE: Lost for Words, where I photographed people against a projected image of their lost loved ones. READ MOREThis story is from the WIRED World in 2023, our annual trends briefing. Read more stories from the series here—or download or order a copy of the magazine.Recently, the pandemic left us feeling closer than ever to death, forcing us to confront our own mortality and the legacy we leave behind. With our normal lives disrupted by social distancing, digital tools also radically impacted our traditional death rituals. We said final goodbyes over FaceTime, mourned together via Zoom, lit virtual prayer candles from our laptops. In 2023, technologies such as artificial intelligence and blockchain will allow us to create new forms of posthumous digital presences. The adoption of these technologies is already opening our minds to the idea of living forever in the virtual world. For instance, in 2020, hologram experts Kaleida collaborated with Kanye West to create a hologram of Kim Kardashian’s late father for her 40th birthday. Genealogy platform MyHeritage has created Deep Nostalgia, a deep-fake tool that animates the faces of departed relatives in family photos. Stonses, a blockchain-powered memorial platform, can store digital NFT replicas of our treasured possessions, affording a permanence to the memories we associate with them.In 2023, the increased adoption of Web3 technologies will take this concept to the next level. Immersive virtual reality combined with multisensory stimulation will also allow us to interact with the image of our lost loved ones in an emotionally visceral way. We’ve already seen such technology used in the entertainment industry, with premium cinema startup Positron creating a range of Voyager VR chairs that amplify cinematic experiences with haptic pillows and scent dispensers. Reimagined for memorial purposes, this tech will allow us to not just see the image of the deceased, but also smell their signature perfume and physically feel their presence on our skin.In 2023, technology will also be used to not only preserve our conversations with those who have passed on, but also replicate them. This will be possible with tools such as the hyperrealistic online chatbot Project December, which uses AI to emulate the style of whatever text is fed to it. Through learning from the remnants of their digital trails—text messages, blog posts, 3 am tweets—AI will let us talk with a chatbot that mimics someone no longer with us.As these technologies develop and become more accessible, they will increasingly be used in combination, creating “intelligent avatars” of ourselves that continue to “live” long after we have died. We are seeing the beginnings of this with the metaverse company Somnium Space, whose Live Forever mode allows users to create “digital clones” built from data they have stored while alive, including conversational style, gaits, and even facial expressions. This sense of immortality may be reassuring, but there is a catch. AI avatars will rely on us feeding their algorithms a huge amount of personal data, accumulated through the course of our lives. If we want our digital selves to live on, this is the exchange we must accept: that the unfiltered beliefs and opinions we express today may not only be archived, but consequently used to build these posthumous personae. In other words, we can have a voice in the afterlife, but we cannot be certain about what it may say. This will force us to reconsider how our behaviors today might influence digital versions of ourselves set to outlive us. Faced with this prospect of virtual immortality, 2023 will be the year we broaden our definition of what it means to live forever, a moral question that will fundamentally change how we live our day-to-day lives, but also what it means to be immortal.
artificial-intelligence	/article/chatgpt-fluent-bs	ChatGPT’s Fluent BS Is Compelling Because Everything Is Fluent BS	Out in the deep waters of the Gulf of Mexico, a young woman named Rachel clings to the side of an oil rig. The wind whips her auburn hair into a wild tangle, and ocean spray drenches her jeans, but she climbs on, determined to uncover evidence of illegal drilling. When she arrives on board, however, she finds something far more sinister at play.This is a snippet of Oil and Darkness, a horror movie set on an oil rig. It features environmental activist Rachel, guilt-ridden rig foreman Jack, and shady corporate executive Ryan, who has been conducting dangerous research on a “new type of highly flammable oil.” It’s the kind of movie you could swear you caught the second half of once while late-night channel-hopping or dozed blearily through on a long-haul flight. It’s also entirely made up. InterruptionThis Chatbot Aims to Steer People Away From Child Abuse MaterialBy Matt BurgessYippee Ki-YayThe Bruce Willis Deepfake Is Everyone’s ProblemBy Will BedingfieldFilmIBM Watson creates the first AI-made film trailer – and it's incredibly creepyBy Amelia HeathmanOil and Darkness was developed and written by the AI chatbot ChatGPT. Content marketer and AI hobbyist Guy Parsons provided a format, asking for a title, tagline, key characters, and plot details and suggesting the topic “a horror film set on an oil rig.” Then the user let OpenAI’s new software do its work. The results are astonishing: There’s dramatic tension, fleshed-out characters, and hints of a dark secret. It promises explosive action, and maybe even a touch of political commentary. It is yet another example—and there are many that have made the rounds on social media, WhatsApp chats, and the WIRED Slack in the past week—of the seemingly magical powers of ChatGPT. The AI chatbot is trained on text from books, articles, and websites that has been “cleaned” and structured in a process called supervised learning. ChatGPT can write code, make up songs, and compose limericks and haiku. It remembers what it has written and makes careful edits upon request. It takes even the most random prompts in stride, composing stories that neatly tie competing strands together: Details that seem irrelevant in the first paragraph pay off in the last. It can tell jokes and explain why they’re funny. It can write magazine-style ledes, punchy and attention-grabbing, with cogent yet completely fabricated quotes.All of this makes playing around with ChatGPT incredibly fun, charmingly addictive, and—as someone who writes for a living—really quite worrying. But you soon start to sense a lack of depth beneath ChatGPT’s competent prose. It makes factual errors, conflating events and mixing people up. It relies heavily on tropes and cliché, and it echoes society’s worst stereotypes. Its words are superficially impressive but largely lacking in substance—ChatGPT mostly produces what The Verge has described as “fluent bullshit.”But that kind of makes sense. ChatGPT was trained on real-world text, and the real world essentially runs on fluent bullshit. Maybe the plausibility of a made-up movie like Oil and Darkness comes not because AI is so good, but because the film industry is so bad at coming up with original ideas. In a way, when you ask an AI to make you a movie, it’s just mimicking the formulaic process by which many Hollywood blockbusters get made: Look around, see what’s been successful, lift elements of it (actors, directors, plot structures) and mash them together into a shape that looks new but actually isn’t. It’s the same in publishing, where narrow trends can sweep the industry and dominate for years at a time, lining bookshop shelves with covers that look the same or titles with the same rhythm: A Brief History of Seven Killings, The Seven Deaths of Evelyn Hardcastle, The Seven Moons of Maali Almeida, The Seven Lives of Seven Killers. (ChatGPT made that last one up.)And it’s not just the creative industries. Fluent bullshit is everywhere: in viral LinkedIn posts and rules for life podcasts, in fundraising decks and academic journals, even in this article itself. Politics and business are full of people who have risen to the top because they’re able to stand in front of a room and ad-lib plausibly at length without saying anything real. Prestigious schools and universities structure education in a way that teaches people one skill: how to very quickly absorb information, confidently regurgitate it in a predetermined format, and then immediately forget it and move on to something else. Those who succeed spill out into government, consultancy, and yes, journalism.The discourse around ChatGPT has flagged the damaging effect it might have on society, everything from the model encouraging torture and perpetuating sexism to enabling kids to cheat on their homework. You worry about the impact of AI-generated responses finding their way into the data that future chatbot tools are trained on, creating an indistinct, Ready Player One-style mush of references—a bovine slurry, churned up and fed back to us, a virus that drowns out anything new.But to be honest, old-fashioned human-generated fluent bullshit—weaponized by social media—has already been pretty disastrous. In the UK, to pick just one example, a cadre of fluent bullshitters drove the country out of Europe and directly off a cliff. (“ChatGPT, write a speech about why Britain should leave the EU but fill it with arcane vocabulary and Shakespearean references.”) Post-truth, fluency is everything and bullshit is everywhere, so of course ChatGPT’s fluent bullshit feels plausible. It was bound to. It was trained on people. In the end, ChatGPT’s bullshit is a reminder that language is a poor substitute for thought and understanding. No matter how fluent and coherent a sentence may seem, it will always be subject to interpretation and misunderstanding. And in a world where everything is fluent bullshit, ChatGPT is just one more voice in the cacophony.And yes, it wrote that ending.
